,analyst_estimated_eps,next_period
447,35.52587969565218,31.835832
448,5.851355761904762,5.861566
449,13.206096238095238,12.549974
450,8.860274666666667,8.533805
451,6.596029086956522,6.416708
452,5.084303,5.025428
453,9.948400000000001,9.85
454,10.444135263157895,9.448816
455,9.388551999999999,9.192037
456,4.783674666666667,4.799178
457,8.453916615384616,7.988569
458,21.558695652173913,21.41
459,9.388551999999999,9.192037
460,-8.731617,-10.907259
461,2.499672904761905,2.492669
462,9.410742818181816,9.69395
463,9.410742818181816,9.69395
464,9.004069,8.512303
465,1.0508824166666664,0.74024075
466,1.414634,0.838302
467,9.410742818181816,9.69395
468,10.088596903225806,10.461243
469,13.75999919047619,14.255924
470,13.900828000000002,14.072563
471,6.120909090909092,5.92
472,1.17192,0.781319
473,6.120909090909092,5.92
474,6.836456,6.872162
475,20.282132857142855,19.661668
476,16.662811761904763,15.509787
477,16.662811761904763,15.509787
478,2.6777109999999995,2.633911
479,2.981248,2.563205
480,1.6698066666666664,1.747151
481,16.73310344827586,16.73
482,0.25436477272727276,0.2433773
483,9.017287499999998,9.811383
484,2.9936686666666668,2.861818
485,2.9936686666666668,2.861406
486,1.6076289999999998,1.106314
487,3.3176666666666668,3.5
488,3.223373,3.036745
489,3.223373,3.036745
490,22.084545454545456,22.02
491,29.992450111111115,29.716968
492,5.8347441818181816,5.903299
493,9.277979615384616,9.40066
494,9.277979615384616,9.40066
495,8.928705333333333,10.12956
496,4.750849333333333,4.85175
497,8.760026,8.5399
498,12.027840999999999,12.430578
499,4.923026,4.885026
500,-8.349547888888889,-9.500966
501,0.17607828571428574,-0.631396
502,8.424837666666667,8.425779
503,9.774746764705881,10.487675
504,0.032214333333333386,-0.631396
505,19.795271454545453,19.515726
506,15.598126411764706,14.994168
507,15.598126411764706,14.994168
508,10.516365548387098,10.901065
509,4.504215608695652,4.580766
510,5.8112121212121215,5.91
511,5.8112121212121215,5.91
512,1.0047266666666665,0.924616
513,2.9077590000000004,2.655159
514,2.854510153846154,2.422601
515,9.808846153846154,9.53
516,15.104759000000001,17.173165
517,3.079546,2.982717
518,3.1128623478260873,2.982717
519,1.7558181666666668,1.802519
520,2.4947427272727274,2.546938
521,0.22120758275862065,0.2193576
522,13.008989272727273,13.78628
523,14.66018681818182,14.834282
524,6.3049669999999995,6.154207
525,5.646150411764706,5.73597
526,8.384484,8.730093
527,2.6672114285714286,1.975084
528,16.476333333333333,16.45
529,3.3151612903225804,3.26
530,3.408427,3.065859
531,3.408427,3.065859
532,14.309538304347825,15.804692
533,22.866521739130434,22.537095
534,29.539301272727272,24.839259
535,8.870554666666667,7.974755
536,12.319712,9.886661
537,9.758148148148148,9.85
538,6.00362,6.051854
539,2.5590254545454547,2.62237
540,8.520389999999999,9.04455
541,9.632221000000001,9.819024
542,10.903742935483871,11.365898
543,10.101964285714285,10.304511
544,10.05229957142857,10.336919
545,4.873922789473683,4.941405
546,8.527302428571428,8.715072
547,9.632221000000001,9.819024
548,2.9708695454545455,3.004658
549,-9.50998552631579,-9.954933
550,9.523493,9.710066
551,-0.5954786153846154,-0.293445
552,4.7880986666666665,4.796038
553,-0.5954786153846154,-0.293445
554,9.523493,9.710066
555,9.523493,9.710066
556,1.4263901578947369,1.462905
557,14.912513999999998,13.869584
558,14.912513999999998,13.869584
559,16.66432018181818,16.435196
560,13.090155263157895,12.627548
561,2.865182857142857,2.579837
562,18.331877869565215,19.648382
563,5.91125,5.98
564,5.9009374999999995,5.98
565,6.249231,2.144771
566,2.7669495555555557,2.319723
567,4.461495578947368,4.340712
